author,comments,images,pushes
CrazyMadness (瘋狂麥德斯),39,13,32
Black3831372 (男哥是我),95,24,77
qzwxecrv55 (Ling),86,17,65
MarioBro (聽說本能寺著火了),44,7,34
kairiyu (E N O U G H  is  enough),9,15,6
yellowsayshi (無我狀態),12,7,10
Micharn (忘記最初的感動),32,5,19
ClownT (克朗),175,13,96
airgp32002 (airgp32002),52,6,39
a450885 (a450885),21,3,13
AmedRosario (SS),29,8,26
andy16384257 (安迪),15,11,12
NCCUOnline (嗯嘻嘻唷昂賴),16,11,14
NCCUOnline (嗯嘻嘻唷昂賴),12,5,8
NCCUOnline (嗯嘻嘻唷昂賴),2,5,1
rasiel0919 (嗜插貓鄰居的阿姨的熱狗),33,11,30
dawsom24 (dawsom),1,1,0
hk5566 (),14,7,4
NCCUOnline (嗯嘻嘻唷昂賴),4,5,2
NCCUOnline (嗯嘻嘻唷昂賴),1,6,1
NCCUOnline (嗯嘻嘻唷昂賴),6,9,1
andy16384257 (安迪),5,10,4
kevin310007 (kevin),8,9,6
andy16384257 (安迪),9,10,8
kpfly2015 (輕舞飛揚),26,4,21
n123456n (米修),39,5,21
WillCheng (WillCheng),20,1,6
bubblefree (自由泡),3,1,1
Arschloch (Arschloch),31,12,24
Black3831372 (男哥是我),43,56,36
fuecho (echo),355,14,265
likeoohahh ((・ω・)),72,16,59
engineer1 (隔壁可愛冰),49,1,15
QnxQn (抹茶冰淇淋),27,5,17
fack3170 (JC),11,25,5
blake0910 (真。鍵盤金城5),6,1,1
CrazyMadness (瘋狂麥德斯),46,20,42
Black3831372 (男哥是我),43,22,33
rados (晚上烤肉誰帶肉?),81,5,63
coldeden (停 不要再靠近),29,8,21
Aa001111,3,3,3
ReiKuromiya (Rei Kuromiya),5,2,3
love00077 (delegate),3,1,1
ohfulow (ohfulow),9,3,6
james7923 (詹姆士Q),6,3,3
